,,ARC(%),ASD(%),MD(%),MLD,IR*(%),IR**(%)
&nbsp;,**FTSE 100**,2.39,18.03,47.83,5.94,13.27,0.66
&nbsp;,&nbsp;,,,,,,
**Long Only**,Base Case (Dropout = 0.075),2.68,14.32,34.93,3.61,18.75,1.44
**Panel E: Dropout Rate**,Dropout = 0.05,**2.85**,13.1,**27.53**,**2.45**,21.78,**2.26**
,Dropout = 0.1,2.78,**11.99**,30.44,4.77,**23.17**,2.12
,&nbsp;,,,,,,
**Panel F: Batch Size**,Base Case (Batch Size = 32),**2.68**,14.32,**34.93**,**3.61**,**18.75**,**1.44**
,Batch Size = 16,2.03,**13.84**,37.95,5.86,14.66,0.78
,Batch Size = 64,-0.59,14.09,58.72,15.68,0.0,0.0
,&nbsp;,,,,,,
